board,type,title,subject,grade,link
kpk,textbooks,Islamiat — Class 9 (KPTB),Islamiat,Class 9,https://drive.google.com/your-link
kpk,textbooks,Islamiat — Class 10 (KPTB),Islamiat,Class 10,https://drive.google.com/your-link
kpk,textbooks,Islamiat — 1st Year (KPTB),Islamiat,1st Year,https://drive.google.com/your-link
kpk,textbooks,Islamiat — 2nd Year (KPTB),Islamiat,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Pakistan Studies — Class 9 (KPTB),Pakistan Studies,Class 9,https://drive.google.com/your-link
kpk,textbooks,Pakistan Studies — Class 10 (KPTB),Pakistan Studies,Class 10,https://drive.google.com/your-link
kpk,textbooks,Pakistan Studies — 1st Year (KPTB),Pakistan Studies,1st Year,https://drive.google.com/your-link
kpk,textbooks,Pakistan Studies — 2nd Year (KPTB),Pakistan Studies,2nd Year,https://drive.google.com/your-link
kpk,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
kpk,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
kpk,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
ajk,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
ajk,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
ajk,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
ajk,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
ajk,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
ajk,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
ajk,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
ajk,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
ajk,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
ajk,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
ajk,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
ajk,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
ajk,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
ajk,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
ajk,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
ajk,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
ajk,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
ajk,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
ajk,textbooks,Physics — Class 9 (AJKTBB),Physics,Class 9,https://drive.google.com/your-link
ajk,textbooks,Physics — Class 10 (AJKTBB),Physics,Class 10,https://drive.google.com/your-link
ajk,textbooks,Physics — 1st Year (AJKTBB),Physics,1st Year,https://drive.google.com/your-link
ajk,textbooks,Physics — 2nd Year (AJKTBB),Physics,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Chemistry — Class 9 (AJKTBB),Chemistry,Class 9,https://drive.google.com/your-link
ajk,textbooks,Chemistry — Class 10 (AJKTBB),Chemistry,Class 10,https://drive.google.com/your-link
ajk,textbooks,Chemistry — 1st Year (AJKTBB),Chemistry,1st Year,https://drive.google.com/your-link
ajk,textbooks,Chemistry — 2nd Year (AJKTBB),Chemistry,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Biology — Class 9 (AJKTBB),Biology,Class 9,https://drive.google.com/your-link
ajk,textbooks,Biology — Class 10 (AJKTBB),Biology,Class 10,https://drive.google.com/your-link
ajk,textbooks,Biology — 1st Year (AJKTBB),Biology,1st Year,https://drive.google.com/your-link
ajk,textbooks,Biology — 2nd Year (AJKTBB),Biology,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Mathematics — Class 9 (AJKTBB),Mathematics,Class 9,https://drive.google.com/your-link
ajk,textbooks,Mathematics — Class 10 (AJKTBB),Mathematics,Class 10,https://drive.google.com/your-link
ajk,textbooks,Mathematics — 1st Year (AJKTBB),Mathematics,1st Year,https://drive.google.com/your-link
ajk,textbooks,Mathematics — 2nd Year (AJKTBB),Mathematics,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Computer Science — Class 9 (AJKTBB),Computer Science,Class 9,https://drive.google.com/your-link
ajk,textbooks,Computer Science — Class 10 (AJKTBB),Computer Science,Class 10,https://drive.google.com/your-link
ajk,textbooks,Computer Science — 1st Year (AJKTBB),Computer Science,1st Year,https://drive.google.com/your-link
ajk,textbooks,Computer Science — 2nd Year (AJKTBB),Computer Science,2nd Year,https://drive.google.com/your-link
ajk,textbooks,English — Class 9 (AJKTBB),English,Class 9,https://drive.google.com/your-link
ajk,textbooks,English — Class 10 (AJKTBB),English,Class 10,https://drive.google.com/your-link
ajk,textbooks,English — 1st Year (AJKTBB),English,1st Year,https://drive.google.com/your-link
ajk,textbooks,English — 2nd Year (AJKTBB),English,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Urdu — Class 9 (AJKTBB),Urdu,Class 9,https://drive.google.com/your-link
ajk,textbooks,Urdu — Class 10 (AJKTBB),Urdu,Class 10,https://drive.google.com/your-link
ajk,textbooks,Urdu — 1st Year (AJKTBB),Urdu,1st Year,https://drive.google.com/your-link
ajk,textbooks,Urdu — 2nd Year (AJKTBB),Urdu,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Islamiat — Class 9 (AJKTBB),Islamiat,Class 9,https://drive.google.com/your-link
ajk,textbooks,Islamiat — Class 10 (AJKTBB),Islamiat,Class 10,https://drive.google.com/your-link
ajk,textbooks,Islamiat — 1st Year (AJKTBB),Islamiat,1st Year,https://drive.google.com/your-link
ajk,textbooks,Islamiat — 2nd Year (AJKTBB),Islamiat,2nd Year,https://drive.google.com/your-link
ajk,textbooks,Pakistan Studies — Class 9 (AJKTBB),Pakistan Studies,Class 9,https://drive.google.com/your-link
ajk,textbooks,Pakistan Studies — Class 10 (AJKTBB),Pakistan Studies,Class 10,https://drive.google.com/your-link
ajk,textbooks,Pakistan Studies — 1st Year (AJKTBB),Pakistan Studies,1st Year,https://drive.google.com/your-link
ajk,textbooks,Pakistan Studies — 2nd Year (AJKTBB),Pakistan Studies,2nd Year,https://drive.google.com/your-link
ajk,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
ajk,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
ajk,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
